2026-07-05T06:54:30.288934 | Pink Floyd - Comfortably Numb | Pink Floyd - Comfortably Numb
2026-07-05T06:54:30.497068 | Metallica - One | Metallica - One
2026-07-05T06:54:30.754313 | Avicii - Levels | Avicii - Levels
2026-07-05T06:54:30.926744 | AC/DC - Thunderstruck | AC-DC - Thunderstruck
2026-07-05T06:54:32.118216 | Queen - Bohemian Rhapsody | Queen - Bohemian Rhapsody
2026-07-05T06:54:32.275840 | Eagles - Hotel California | Eagles - Hotel California
2026-07-05T06:54:32.810914 | Michael Jackson - Billie Jean | Michael Jackson - Billie Jean
2026-07-05T06:54:32.952495 | Daft Punk - One More Time | Daft Punk - One More Time
2026-07-05T07:07:26.784982 | Avicii | Levels | Avicii - Levels | mp4a.40.2 | 129.502 | m4a | Avicii - Levels | 1.67
2026-07-05T07:07:27.166299 | AC/DC | Thunderstruck | AC/DC - Thunderstruck | mp4a.40.2 | 129.493 | m4a | AC-DC - Thunderstruck | 2.05
2026-07-05T07:07:27.278548 | Pink Floyd | Comfortably Numb | Pink Floyd - Comfortably numb | mp4a.40.2 | 129.487 | m4a | Pink Floyd - Comfortably Numb | 2.16
2026-07-05T07:07:27.291735 | Metallica | One | Metallica - One (Studio Version) (HQ) | mp4a.40.2 | 129.486 | m4a | Metallica - One | 2.16
2026-07-05T07:07:28.430285 | Queen | Bohemian Rhapsody | Queen - Bohemian Rhapsody (Official Audio) | mp4a.40.2 | 129.487 | m4a | Queen - Bohemian Rhapsody | 1.64
2026-07-05T07:07:29.089249 | Michael Jackson | Billie Jean | Michael Jackson - Billie Jean (Official Audio) | mp4a.40.2 | 129.493 | m4a | Michael Jackson - Billie Jean | 1.8
2026-07-05T07:07:29.461791 | Eagles | Hotel California | Eagles - Hotel California (Official Audio) | mp4a.40.2 | 129.488 | m4a | Eagles - Hotel California | 2.29
2026-07-05T07:07:29.501394 | Daft Punk | One More Time | Daft Punk - One More Time (Official Audio) | mp4a.40.2 | 129.492 | m4a | Daft Punk - One More Time | 2.21
2026-07-05T07:46:17.116843 | Avicii | Levels | Avicii - Levels | mp4a.40.2 | 129.502 | m4a | Avicii - Levels | 1.31
2026-07-05T07:46:17.223373 | Pink Floyd | Comfortably Numb | Pink Floyd - Comfortably numb | mp4a.40.2 | 129.487 | m4a | Pink Floyd - Comfortably Numb | 1.41
2026-07-05T07:46:17.433444 | Metallica | One | Metallica - One (Studio Version) (HQ) | mp4a.40.2 | 129.486 | m4a | Metallica - One | 1.61
2026-07-05T07:46:17.516458 | AC/DC | Thunderstruck | AC/DC - Thunderstruck | mp4a.40.2 | 129.493 | m4a | AC-DC - Thunderstruck | 1.7
2026-07-05T07:46:18.576911 | Queen | Bohemian Rhapsody | Queen - Bohemian Rhapsody (Official Audio) | mp4a.40.2 | 129.487 | m4a | Queen - Bohemian Rhapsody | 1.46
2026-07-05T07:46:18.804971 | Eagles | Hotel California | Eagles - Hotel California (Official Audio) | mp4a.40.2 | 129.488 | m4a | Eagles - Hotel California | 1.58
2026-07-05T07:46:18.897992 | Michael Jackson | Billie Jean | Michael Jackson - Billie Jean (Official Audio) | mp4a.40.2 | 129.493 | m4a | Michael Jackson - Billie Jean | 1.46
2026-07-05T07:46:19.285583 | Daft Punk | One More Time | Daft Punk - One More Time (Official Audio) | mp4a.40.2 | 129.492 | m4a | Daft Punk - One More Time | 1.77
